sample_id,p1,p3,stored_h,reconstructed_h,absolute_error,mode
sci_0299,0.4954,0.3405,0.4401,0.4401,0.0,PARTIAL_RENORMALIZED
sci_0300,0.0,0.3009,0.1075,0.1075,0.0,PARTIAL_RENORMALIZED
com_0301,1.0,0.0906,0.6753,0.6753,0.0,PARTIAL_RENORMALIZED
com_0302,0.0,,0.0,0.0,0.0,P1_ONLY
com_0303,0.0,0.0999,0.0357,0.0357,0.0,PARTIAL_RENORMALIZED
com_0304,0.0,0.2053,0.0733,0.0733,0.0,PARTIAL_RENORMALIZED
com_0305,0.0,0.1505,0.0537,0.0537,0.0,PARTIAL_RENORMALIZED
com_0306,0.0,,0.0,0.0,0.0,P1_ONLY
com_0307,0.3915,0.081,0.2806,0.2806,0.0,PARTIAL_RENORMALIZED
com_0308,0.1558,0.1148,0.1412,0.1412,0.0,PARTIAL_RENORMALIZED
com_0309,0.0,0.1647,0.0588,0.0588,0.0,PARTIAL_RENORMALIZED
com_0310,0.0,,0.0,0.0,0.0,P1_ONLY
com_0311,0.0,0.1133,0.0405,0.0405,0.0,PARTIAL_RENORMALIZED
